group,seed,val_auc_pr,test_auc_pr,test_f1,test_fn,test_fp,test_precision,test_precision_at_100,test_recall,test_recall_at_100,test_roc_auc,test_tn,test_tp,threshold,train_seconds,test_inference_seconds,run_id,manifest_sha256
g2,42,0.8658966752975905,0.8453672874005373,0.848,18,1,0.9814814814814815,0.61,0.7464788732394366,0.8591549295774648,0.9720331971114959,42487,53,0.45737266540527344,1.547544002532959,0.010467052459716797,2026-07-14_g2_seed42,bea6690719733560a8a582b263293662505129434231ad0aa8c3aed9739799f2
g2,43,0.9129146742555699,0.8822104600758204,0.9022556390977443,11,2,0.967741935483871,0.61,0.8450704225352113,0.8591549295774648,0.9896020351065156,42486,60,0.19909508526325226,0.7235071659088135,0.004561901092529297,2026-07-14_g2_seed43,b2bc5ba38d996560d6bbb215ce5be5ce3ddf998d160c271219ac3c611d2a008d
g2,44,0.8163624920174576,0.8458455081369738,0.8888888888888888,11,4,0.9375,0.6,0.8450704225352113,0.8450704225352113,0.9773699152171549,42484,60,0.08741379529237747,1.0113847255706787,0.0063931941986083984,2026-07-14_g2_seed44,1cd2208c2ab31baaa68d3dbd1d02a82ab028b7ffa5589b253130340c9a4b028d
g2,45,0.8294186349719713,0.8375952525737351,0.8396946564885496,16,5,0.9166666666666666,0.6,0.7746478873239436,0.8450704225352113,0.9739623250707408,42483,55,0.44868016242980957,0.6405661106109619,0.004016876220703125,2026-07-14_g2_seed45,4f6501fa4e2f039a729368db6475bf44d07372c0571177cfde90275b3aab172a
g2,46,0.8117657839322939,0.8575140414790594,0.8714285714285714,10,8,0.8840579710144928,0.61,0.8591549295774648,0.8591549295774648,0.9684417936729774,42480,61,0.16861198842525482,1.0433650016784668,0.0070536136627197266,2026-07-14_g2_seed46,4b1cc4303929ff5062d478dca6f2fa19348e214700a01153fd58e4294c6af8c0
g3,42,0.7246782679211523,0.6776174214062187,0.746031746031746,24,8,0.8545454545454545,0.55,0.6619718309859155,0.7746478873239436,0.974441665053397,42480,47,0.9158737063407898,0.6330382823944092,0.003033161163330078,2026-07-14_g3_seed42,d9919240a796c6621e1e3dad249ff7470d8ae7c0794a1a62c0de7055ae18465b
g3,43,0.8475859653421808,0.8693502564234287,0.8450704225352113,11,11,0.8450704225352113,0.62,0.8450704225352113,0.8732394366197183,0.9849070889278431,42477,60,0.9313635230064392,1.4699311256408691,0.006837129592895508,2026-07-14_g3_seed43,453eca84a266e636681585866f0e5a2a7a9dab612645872f0c8be52a9be7fb26
g3,44,0.836490597166096,0.8343102091410777,0.8837209302325582,14,1,0.9827586206896551,0.6,0.8028169014084507,0.8450704225352113,0.9686731763202071,42487,57,0.9869338274002075,1.592846155166626,0.008584022521972656,2026-07-14_g3_seed44,35f3a25892bb74c65a9ec208ab0b95dbabf85a5cb529d3e04ff56284e934a295
g3,45,0.8361719328350571,0.8586953943381025,0.7933884297520661,23,2,0.96,0.62,0.676056338028169,0.8732394366197183,0.9737655835218428,42486,48,0.9887114763259888,4.281045913696289,0.022404909133911133,2026-07-14_g3_seed45,80f8ec0f9e34a92717a04b51ab0bffb6b28c6d2f0d7125a01d4dd764977e6432
g3,46,0.7976973312312092,0.8443764876992226,0.855072463768116,12,8,0.8805970149253731,0.62,0.8309859154929577,0.8732394366197183,0.9691352786271383,42480,59,0.9800209403038025,2.0182249546051025,0.010043859481811523,2026-07-14_g3_seed46,1f8b4d6afaa62cdfcad22cd75f7b976ca57e2fb6a0044fd4320d33374657aa4b
g6,42,0.8774468860340953,0.8201762667403462,0.819672131147541,21,1,0.9803921568627451,0.59,0.704225352112676,0.8309859154929577,0.9773987551746177,42487,50,0.9890379905700684,0.9867510795593262,0.0063359737396240234,2026-07-14_g6_seed42,c6f9d110014395fdc48aefaad6345f31d1147c9bd572926175170b49cc86dc4c
g6,43,0.8896851315858688,0.8909695780171165,0.8888888888888888,11,4,0.9375,0.62,0.8450704225352113,0.8732394366197183,0.987021356154248,42484,60,0.8461686372756958,1.1139562129974365,0.007714033126831055,2026-07-14_g6_seed43,a81cc0834aec6142f6cf9bfbf3c57a8cba970cc60329655d49ea45d65ab8947a
g6,44,0.8556467382848133,0.8476748691317997,0.8695652173913043,11,7,0.8955223880597015,0.6,0.8450704225352113,0.8450704225352113,0.9777750005966888,42481,60,0.4373057186603546,0.9447400569915771,0.006323814392089844,2026-07-14_g6_seed44,4f13071b160c96ec4d15526ef59f60786e5bf5710a795f50c1edb8509404c767
g6,45,0.8276002588510177,0.8453834637336919,0.8166666666666667,22,0,1.0,0.61,0.6901408450704225,0.8591549295774648,0.9732872380204783,42488,49,0.995108425617218,0.7649867534637451,0.0053558349609375,2026-07-14_g6_seed45,0c2a20e90746b41f4a05fd6bff1d86f16e92103fec67d37dc23fe06a9fbbfdfd
g6,46,0.807000481755912,0.8718674721785821,0.8503937007874016,17,2,0.9642857142857143,0.61,0.7605633802816901,0.8591549295774648,0.9718899918054741,42486,54,0.9952914714813232,0.9173927307128906,0.005988121032714844,2026-07-14_g6_seed46,59ed7bb6a4399ba87ccfe4997570c6634bce223ff112cc664c1560299f27c851
g7,42,0.8586791078730618,0.8434945319359239,0.8503937007874016,17,2,0.9642857142857143,0.6,0.7605633802816901,0.8450704225352113,0.974491223371106,42486,54,0.13513413071632385,1.9550750255584717,0.012774944305419922,2026-07-14_g7_seed42,77e9adb6b80e8d4ad248b72002ff12bccf28be6cc042d363e7888402aca87010
g7,43,0.9061979047041432,0.8752993524217825,0.8939393939393939,12,2,0.9672131147540983,0.61,0.8309859154929577,0.8591549295774648,0.9898632521924998,42486,59,0.21702642738819122,0.9204208850860596,0.006345033645629883,2026-07-14_g7_seed43,d4ad00a64c0de34231ea3bcd43042d30d9a1dbe3cef265ceb9db018bcf5c5c37
g7,44,0.8268408141949262,0.8477713906038284,0.8888888888888888,11,4,0.9375,0.6,0.8450704225352113,0.8450704225352113,0.9754916715506748,42484,60,0.03842585161328316,2.8068768978118896,0.015558242797851562,2026-07-14_g7_seed44,38dc0a82dc7d7c684e2614c58d60633bcdbf84a4ae005e74cc585688b0815e4b
g7,45,0.8167210215536632,0.842900713554575,0.835820895522388,15,7,0.8888888888888888,0.61,0.7887323943661971,0.8591549295774648,0.9759216189625041,42481,56,0.10848288238048553,1.5617079734802246,0.009953975677490234,2026-07-14_g7_seed45,376c197e80078c9f61ef461f510f63d18f84171c1a0485ff2eeef55b76366d85
g7,46,0.8036383176314011,0.864371429216201,0.8652482269503546,10,9,0.8714285714285714,0.61,0.8591549295774648,0.8591549295774648,0.9708446262208915,42479,61,0.06522660702466965,1.9149692058563232,0.011857032775878906,2026-07-14_g7_seed46,8efefea319a74de20c26dcbf06d4674ab60fe23cb01f820d534b25fd0b10a932
