group,val_auc_pr_mean,val_auc_pr_std,test_auc_pr_mean,test_auc_pr_std,test_f1_mean,test_f1_std,test_fn_mean,test_fn_std,test_fp_mean,test_fp_std,test_precision_mean,test_precision_std,test_precision_at_100_mean,test_precision_at_100_std,test_recall_mean,test_recall_std,test_recall_at_100_mean,test_recall_at_100_std,test_roc_auc_mean,test_roc_auc_std,test_tn_mean,test_tn_std,test_tp_mean,test_tp_std,threshold_mean,threshold_std,train_seconds_mean,train_seconds_std,test_inference_seconds_mean,test_inference_seconds_std
g0,0.8472126383206083,0.04160397055624608,0.8528905091985205,0.020896004619989507,0.8507071426163751,0.02648169644638348,15.0,4.301162633521313,4.6,4.722287581247038,0.9302381564985958,0.05950108128348245,0.606,0.008944271909999175,0.7887323943661972,0.06057975540170859,0.8535211267605634,0.012597566070421342,0.9750107072485752,0.009048640140886759,42483.4,4.722287581247443,56.0,4.301162633521313,0.3594194337725639,0.24901286511264503,0.9644318103790284,0.3396041047353024,0.006080007553100586,0.0021507333970600395
g1,0.8321416632160388,0.027834629554679097,0.8404571840449522,0.04083667322313772,0.8633421977335196,0.03648702840028855,14.6,3.2093613071762426,3.2,1.9235384061671346,0.9463004983734755,0.03160161302285473,0.5980000000000001,0.027748873851023224,0.7943661971830986,0.04520227193205973,0.8422535211267606,0.03908292091693407,0.9723298508808453,0.008127659139109211,42484.8,1.9235384061673235,56.4,3.2093613071762426,0.956769597530365,0.03682564343530374,2.185660219192505,0.8222707534031822,0.01169276237487793,0.005487026355834493
g2,0.8472716520949767,0.042398911892735744,0.8537065099332253,0.0174490907040894,0.8700535511807509,0.026465339125398824,13.2,3.5637059362410923,4.0,2.7386127875258306,0.9374896109293024,0.039175959067131096,0.606,0.005477225575051679,0.8140845070422535,0.05019304135550831,0.8535211267605634,0.007714402218382624,0.976281853235777,0.008116479342422829,42484.0,2.7386127875253323,57.8,3.5637059362410928,0.27223473936319353,0.17004036569396735,0.993273401260376,0.35610017640714325,0.006498527526855469,0.00254840739592735
g3,0.8085248188991392,0.050546264512351134,0.81686995380161,0.07898669085872181,0.8246567984639395,0.054749452410655375,16.8,6.220932405998316,6.0,4.301162633521313,0.9045943025391388,0.0628555909050545,0.602,0.030331501776206225,0.7633802816901408,0.08761876628166643,0.847887323943662,0.042720425036910106,0.9741845584900857,0.006539970629795782,42482.0,4.301162633520468,54.2,6.220932405998316,0.9605806946754456,0.03433696825966708,1.9990172863006592,1.3710241959075706,0.01018061637878418,0.0073189167179962735
g6,0.8514758993023414,0.034278063153514525,0.8552143299603072,0.027096679611634342,0.8490373209763605,0.031311161734362505,16.4,5.272570530585627,2.8,2.7748873851023217,0.9555400518416322,0.04061515776806936,0.606,0.01140175425099139,0.7690140845070422,0.07426155676881166,0.8535211267605634,0.016058808804213186,0.9774744683503014,0.005915200651118108,42485.2,2.7748873851024527,54.6,5.272570530585627,0.852582448720932,0.24072574315799122,0.9455653667449951,0.1259511355381559,0.006343555450439453,0.0008632180552873917
g7,0.8424154331914391,0.041046153972915396,0.8547674835464623,0.014410398992190522,0.8668582212176854,0.024777652909820064,13.0,2.9154759474226504,4.8,3.1144823004794877,0.9258632578714545,0.04373713707560488,0.606,0.0054772255750516665,0.8169014084507042,0.041063041512995044,0.8535211267605634,0.007714402218382611,0.9773224784595353,0.00728978466915905,42483.2,3.114482300479385,58.0,2.9154759474226504,0.11285917982459068,0.06923749566108825,1.8318099975585938,0.6849179510654528,0.011297845840454101,0.003427164563843548
